Date,Value,Anomaly
194207,2.52,-0.26
194208,3.16,0.54
194209,2.7,0.21
194210,2.1,-0.06
194211,2.35,0.12
194212,3,0.65
194301,2.23,-0.08
194302,1.25,-0.88
194303,2.88,0.37
194304,2.13,-0.39
194305,3.39,0.48
194306,3.27,0.34
194307,2.57,-0.21
194308,2.12,-0.5
194309,1.89,-0.6
194310,1.9,-0.26
194311,1.44,-0.79
194312,1.74,-0.61
194401,1.88,-0.43
194402,2.66,0.53
194403,3.03,0.52
194404,3.3,0.78
194405,3,0.09
194406,3.01,0.08
194407,2.31,-0.47
194408,2.96,0.34
194409,2.39,-0.1
194410,1.34,-0.82
194411,2.68,0.45
194412,2.06,-0.29
194501,1.8,-0.51
194502,2.75,0.62
194503,3.12,0.61
194504,3.05,0.53
194505,2.87,-0.04
194506,3.41,0.48
194507,3.05,0.27
194508,2.6,-0.02
194509,3.44,0.95
194510,2,-0.16
194511,2.24,0.01
194512,2.7,0.35
194601,2.54,0.23
194602,2.06,-0.07
194603,2.67,0.16
194604,1.66,-0.86
194605,3.75,0.84
194606,2.88,-0.05
194607,2.57,-0.21
194608,2.58,-0.04
194609,2.64,0.15
194610,2.72,0.56
194611,3.08,0.85
194612,1.94,-0.41
194701,2.43,0.12
194702,1.03,-1.1
194703,2.27,-0.24
194704,3.01,0.49
194705,3.19,0.28
194706,3.83,0.9
194707,1.99,-0.79
194708,2.39,-0.23
194709,2.16,-0.33
194710,2.28,0.12
194711,2.78,0.55
194712,1.99,-0.36
194801,1.98,-0.33
194802,2.54,0.41
194803,3,0.49
194804,2.54,0.02
194805,2.77,-0.14
194806,3.23,0.3
194807,3.06,0.28
194808,2.24,-0.38
194809,1.81,-0.68
194810,1.54,-0.62
194811,3.39,1.16
194812,2.59,0.24
194901,3.16,0.85
194902,2.4,0.27
194903,2.47,-0.04
194904,2.09,-0.43
194905,2.98,0.07
194906,3.2,0.27
194907,3.08,0.3
194908,2.49,-0.13
194909,2.22,-0.27
194910,2.8,0.64
194911,1.19,-1.04
194912,2.22,-0.13
195001,3.36,1.05
195002,2.23,0.1
195003,2.49,-0.02
195004,2.08,-0.44
195005,2.88,-0.03
195006,2.8,-0.13
195007,3.86,1.08
195008,2.55,-0.07
195009,2.69,0.2
195010,1.9,-0.26
195011,2.1,-0.13
195012,1.93,-0.42
195101,2.34,0.03
195102,2.27,0.14
195103,2.6,0.09
195104,2.35,-0.17
195105,2.37,-0.54
195106,3.44,0.51
195107,2.85,0.07
195108,2.61,-0.01
195109,2.57,0.08
195110,2.3,0.14
195111,2.43,0.2
195112,3.12,0.77
195201,2.44,0.13
195202,2,-0.13
195203,2.93,0.42
195204,2.4,-0.12
195205,2.69,-0.22
195206,2.2,-0.73
195207,2.39,-0.39
195208,2.62,0
195209,1.53,-0.96
195210,0.54,-1.62
195211,2.15,-0.08
195212,2.45,0.1
195301,2.64,0.33
195302,2.06,-0.07
195303,2.61,0.1
195304,2.96,0.44
195305,3.26,0.35
195306,2.54,-0.39
195307,2.65,-0.13
195308,2.29,-0.33
195309,1.5,-0.99
195310,1.51,-0.65
195311,1.79,-0.44
195312,2.5,0.15
195401,2.54,0.23
195402,1.49,-0.64
195403,2.16,-0.35
195404,2.4,-0.12
195405,2.69,-0.22
195406,2.5,-0.43
195407,2.01,-0.77
195408,2.52,-0.1
195409,1.95,-0.54
195410,2.35,0.19
195411,1.54,-0.69
195412,2,-0.35
195501,1.69,-0.62
195502,2.22,0.09
195503,1.98,-0.53
195504,2.49,-0.03
195505,2.92,0.01
195506,2.47,-0.46
195507,2.92,0.14
195508,2.74,0.12
195509,2.11,-0.38
195510,2.04,-0.12
195511,1.92,-0.31
195512,2.24,-0.11
195601,2.27,-0.04
195602,2.62,0.49
195603,1.82,-0.69
195604,2.07,-0.45
195605,2.6,-0.31
195606,2.21,-0.72
195607,2.78,0
195608,2.21,-0.41
195609,1.44,-1.05
195610,2,-0.16
195611,1.36,-0.87
195612,2,-0.35
195701,2.13,-0.18
195702,2.08,-0.05
195703,2.51,0
195704,3.65,1.13
195705,4.24,1.33
195706,3.65,0.72
195707,2.28,-0.5
195708,2.19,-0.43
195709,2.86,0.37
195710,2.76,0.6
195711,3.12,0.89
195712,2.4,0.05
195801,2.29,-0.02
195802,2.43,0.3
195803,2.66,0.15
195804,3.05,0.53
195805,2.46,-0.45
195806,3.2,0.27
195807,3.86,1.08
195808,2.4,-0.22
195809,2.82,0.33
195810,1.53,-0.63
195811,2.21,-0.02
195812,1.32,-1.03
195901,2.19,-0.12
195902,2.35,0.22
